,sentence,label
4456,even tere's final schizoid moment can't dilute the hopefulness of guillen's bittersweet saga .,0
7471,he has no idea how he has journeyed the 400 miles in less than two hours .,1
3679,"funny and , at times , poignant , the film from director george hickenlooper all takes place in pasadena , "" a city where people still read . """,0
2955,"white hasn't developed characters so much as caricatures , one-dimensional buffoons that get him a few laughs but nothing else .",0
2109,"the film makes a tragic error by going on for too long , trying to mirror every subsequent event in chinese history : war , revolution , communism , etc .",0
4640,"britney spears' phoniness is nothing compared to the movie's contrived , lame screenplay and listless direction .",0
3268,"aaliyah rarely dampens her diva persona enough to spark genuine chemistry with townsend . when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music .",0
8004,isabel is a naive provincial lass who works as an indigenous fabric weaver while clara is the liberated city girl .,1
2710,"it plods along methodically , somehow under the assumption that its "" dead wife communicating from beyond the grave "" framework is even remotely new or interesting .",0
3882,a delightful fable about the enduring value of literature .,0
6103,"ben's rock-solid , promising future and romance with amy are turned upside-down with the arrival of madison bell .",1
8257,"their marriage turns into a downward spiral where she works at a local strip club and starts having an affair with her husbands best friend , freddy .",1
1237,works as another uncompromisingly adult movie that assumes its audience is intelligent and doesn't have to cut narrative corners to make viewers feel safe .,0
7793,"the hunt is on as the killers ruthlessly stalk the teacher and students through the school's halls and classrooms , while lamb tracks them on the surveillance cameras , turning the school's security system against his prey .",1
7741,disillusioned and with no money the secret knight joins the crusaders and embarks on new adventures .,1
2600,"being a sayles film , this has a way of looking at things with more patience and maturity than a plot summary might lead us to expect .",0
4851,director rob marshall went out gunning to make a great one .,0
7761,"a series of mysterious and bizarre death threats soon ushers in symptoms of paranoia , unwelcome fame , and eventually a severe case of writer's block .",1
8892,his exciting and stylish life as a drug lord seems to have come to a halt .,1
9459,what if hitler didn't die in berlin at the end of the war ?,1
2057,this is pretty dicey material . but some unexpected zigs and zags help .,0
6504,"set in the rural landscape of iceland , she faces serious obstacles over the course of the summer that challenge her to find her own resourcefulness , and ultimately her independence .",1
6051,"adam miauczynski , the character known from director marek koterski's previous films , is a 44 year-old teacher , who reads poetry during school lessons and later goes home swearing and calling his neighbours' names .",1
3642,the warm presence of zhao benshan makes the preposterous lying hero into something more than he reasonably should be .,0
7376,adding to the situation is a killer hurricane bearing down on the island .,1
8813,"he speaks villon's poet "" i fell in love with your red hair "" .",1
2583,how often do you see a movie about a subject that truly frightens you ?,0
3046,"it never quite makes it to the boiling point , but manages to sustain a good simmer for most of its running time .",0
9769,"toledo ( daniel hendler ) , 25 years old , future architect , suffers from an acute jealousy .",1
4617,glizty but formulaic and silly . . . cagney's 'top of the world' has been replaced by the bottom of the barrel .,0
4998,"an authentically vague , but ultimately purposeless , study in total pandemonium .",0
