,sentence,label
2694,"Whose special bear 's creator was born on January 18 , 1779 ?",3
3142,Who commanded the French forces at the Battle of Orleans ?,3
1002,What was Mark Johnson referring to when he said : `` I still can 't believe it- we beat the Russians ? '',1
3910,What is the abbreviation for Original Equipment Manufacturer ?,2
1533,Who established a Viking colony in Greenland about 985 ?,3
3647,Where are the busiest ports in the world ?,4
4572,What is the world 's deadliest infectious disease ?,1
2859,How does the speed the magnet spins in a generator affect the output of the generator ?,0
1183,What is the name of the Michelangelo painting that shows two hands with fingers touching ?,1
228,When did beethoven die ?,5
2187,Who was the Russian ambassador to Hungary during the 1956 uprising ?,3
4812,What daily newspaper will `` help you see clearer across the USA '' ?,1
3559,How many inches tall is Stuart Little at birth ?,5
1620,What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?,3
2714,How do they raise the cranes when building high-rise buildings ?,0
17,How many Jews were executed in concentration camps during WWII ?,5
748,How many pairs of legs does a lobster have ?,5
1858,What are all the different kinds of contraceptives ?,1
1538,What is the theory of equivalence states ?,0
443,What does G.M.T. stand for ?,2
747,What happened during the Blackhawk Indian war of 1832 ?,0
37,In what religion was Isis the nature goddess ?,1
4375,What is `` the soft drink for adults '' ?,1
2614,What 's the green variety of beryl called ?,1
1554,What hard-of hearing artist painted Sunflowers ?,3
2526,What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?,1
2093,Who was the first woman governor of Wyoming ?,3
4315,When was the bar-code invented ?,5
2867,Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?,3
3168,Who was the last U.S. president to reinstate Selective Service registration ?,3
1371,What university was Woodrow Wilson President of ?,3
5332,How do I get a complete list of all the people that are living with the last name Kilvington ?,0
1666,Who was the author of the novel `` Far From the Madding Crowd '' ?,3
1545,What future President became Senate majority whip under Harry Truman ?,3
2771,What disease did August von Wassermann develop a specific test for in 196 ?,1
4257,What is SAP ?,2
3725,Who wrote ` Dubliners ' ?,3
88,Who were the five Marx brothers ?,3
5160,"Why does a wheel , e.g. a car tire , appear to spin in the opposite direction as it slows down ?",0
4702,What is `` the great American family cereal '' ?,1
3631,Why is hockey so violent ?,0
3666,What are the two cities in Dicken 's `` A Tale of Two Cities '' ?,4
4966,Where is Burma ?,4
2114,Why do they sterilize the needle for lethal injection ?,0
1720,What is the federal minimum wage ?,5
2592,What does the abbreviation IOC stand for ?,2
144,"What is the origin of the word , JJ .",0
925,What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?,3
1658,How many URL extensions are there ? and what are they ?,5
5388,Who is the prime minister of Australia ?,3
3868,What kind of species is the monster in the film `` Jaws '' ?,1
3259,What is the fear of the computer called ?,1
4562,Which large U.S. city had the highest murder rate for 1988 ?,4
5104,What was an `` Asiento '' ?,0
3855,Where did the term fireplug come from ?,0
485,What type of bridge is the Golden Gate Bridge ?,1
3008,Who killed Kurt Cobain ?,3
3438,What series of trials followed World War II ?,1
2523,Which college did Dikembe Mutombo attend ?,3
3635,Who created Maudie Frickett ?,3
2495,"Who was the captain of the tanker , Exxon Valdez , involved in the oil spill in Prince William Sound , Alaska , 1989 ?",3
5306,What creative genius said : `` Everything comes to him who hustles while he waits '' ?,3
1471,How do I e-mail someone at aol.com from yahoo.com ?,0
1892,What are amaretto biscuits ?,0
724,What city has the world 's longest subway system ?,4
4707,Why are there letters on the telephone ? Why are there no Q or Z ?,0
3586,How many websites are there in the world ?,5
3235,What building built in 18 contains 327 miles of book shelves ?,4
2835,What are differences between 1980 and 1990 ?,0
3733,What is the fare cost for the round trip between New York and London on Concorde ?,5
1807,"What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?",3
1616,Who is stationed at Camp Swampy in the comic strips ?,3
100,Who invented Make-up ?,3
3322,What year was the first automobile manufactured ?,5
903,What company is being bought by Yahoo and how much is the deal worth ?,3
2792,"What garment was named for Bradley , Voorhees and Day ?",1
1158,What game is fatal to anybody over 21 ?,1
5155,Why do you say `` God bless you '' when people sneeze ?,0
1220,Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?,4
2812,How is cologne made ?,0
4346,What is the price for AAA 's liability auto insurance ?,5
742,What author landed a 468-pound marlin without harness in the early 193 's ?,3
1400,What city is often called The Insurance Capital of the World ?,4
109,Where is the highest point in Japan ?,4
3165,What 's a male witch called ?,1
2384,What is her husband 's name ?,3
4588,How can I get someone 's phone number if I only have their screen name ?,0
1586,What does the name `` Sabrina '' mean ?,0
2309,How do you convert foot-pounds to foot-inches ?,0
2459,What Ernest Hemingway novel had the working title Fiesta ?,1
4054,What does the T.S. stand for in T.S. Eliot 's name ?,2
1718,"What feud ended with a marriage in Kentucky on March 21 , 1891 ?",1
4421,"In Beetle Bailey , can you name Sarge 's dog ?",1
1330,What civil war was fought between 1936 and 1939 ?,1
1513,Who is Luke Skywalker 's father ?,3
4051,What is ouzo ?,0
3254,How many people are taller than 7 feet ?,5
3393,What is the longest river in the United States ?,4
1297,What are amicable numbers ?,0
2842,Who was the only president to serve two nonconsecutive terms ?,3
1188,What was the filling in the first golf balls ?,0
5290,What are the three most successful companies of our time ?,3
1992,How much folic acid should an expectant mother get daily ?,5
4179,How did P.T. Barnum bill the diminutive Charles S. Stratton ?,0
5020,What TV series features the adventures of a married couple named Jonathan and Jennifer ?,1
308,What is BPH ?,2
5364,What features of the African elephant are larger than those of the Indian elephant ?,0
3794,What is the length of border between the Ukraine and Russia ?,5
1957,Who is Imam Hussain Ben Ali whom Shia people believe in ?,3
3922,How do wasps make their nests ?,0
3862,How do vending machines tell if your dollar is a 1 or a 5 ?,0
3811,What are the top five oil-producing countries in the world ?,4
4325,What is the `` fourth dimension '' ?,0
4187,What famed river was Hernando de Soto the first European to see ?,4
1322,What National Basketball Association superstar told his story in Giant Steps ?,3
233,What caused Harry Houdini 's death ?,0
1557,What is the English translation for the word `` caliente '' ?,1
2378,In what part of Africa is Mozambique located ?,4
2603,What is goldenseal ?,0
1020,Where can I buy a good snowboard for less than $200 ?,4
4445,How many Beanie Baby sites are there ?,5
3435,What 's the symbol for the zodiacal sign Gemini ?,1
1319,What do you call a `` twirl '' in ballet ?,1
2407,What year was the ATM first introduced ?,5
1776,What is the term for a group of geese ?,1
4379,"In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?",4
44,How do they find or choose witnesses to an execution ?,0
5146,Who portrayed George M. Cohan in 1942 's Yankee Doodle Dandy ?,3
4936,What 's the name of Pittsburgh 's baseball team ?,3
438,What do bicornate animals have two of ?,1
1498,What is the largest natural lake in Pennsylvania ?,4
5064,What condiment do the Dutch dip their French fries in ?,1
5358,What is the origin of thank you notes ?,0
1813,What 's the world 's largest cathedral ?,4
4031,What are the top vegetable crops in the world ?,1
3837,How can I get a CCT diagram ?,0
5356,Who made the deodorant that claimed that it `` actually builds up resistance to odor '' ?,3
149,Who earns their money the hard way ?,3
586,What is a fear of being alone ?,1
5107,What is dextropropoxyphen napsylate ?,0
437,What desert has been called The Garden of Allah ?,4
12,Who was The Pride of the Yankees ?,3
93,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,1
3856,What facial feature did Walt Disney sport that none of Disney 's employees is allowed to ?,0
183,What is the occupation of Nicholas Cage ?,3
1176,Where can I get information and statistics on countries and nations ?,4
642,What is white chocolate ?,0
2410,What does 7847+5943 equal ?,5
856,Who was Lauren Bacall 's first husband ?,3
2521,What will a compass do in outer space ?,0
5305,Who was the girl in Peter Sellers 's soup ?,3
3282,"What is the name of the largest city in Chile , South America ?",4
1323,What animals did The Amazing Three masquerade as ?,1
4509,What is the origin of infinity ?,0
3370,"Name the product that is `` at your grocer 's , at your fingertips . ''",1
4527,What D.H. Lawrence novel was originally titled Tenderness ?,1
4250,"Who is the richest person in the world , without owning a business ?",3
705,What is the fear of being loved ?,1
4614,What capital is built around Monument Circle which contains soldiers and sailors monument ?,4
3187,What is the cost of the drugs used in tuberculosis treatments ?,5
653,What are shooting stars ?,0
429,What killed Bob Marley ?,1
2215,Where does `` bovine '' come from ?,0
4490,What is a movie that Kevin Costner made about Sioux Indians ?,1
889,Who is actress Goldie Hawn 's current actor boyfriend ?,3
848,What is the full name of the PLO ?,2
1038,What Japanese manufacturer is known for both its pianos and its motorcycles ?,3
3907,What is `` cat scratch fever '' ?,0
